id	country	village_name	cl	X1	X2	X3	X4	X5
596791	KAZAKISTAN	Alga	1	0.998296615	2.25E-05	0.00041539	0.00121666	4.88E-05
596792	KAZAKISTAN	Alga	1	0.999902699	2.00E-05	6.08E-05	4.30E-06	1.22E-05
596793	KAZAKISTAN	Alga	4	0.015213199	2.44E-06	1.16E-08	0.984784104	2.43E-07
596794	KAZAKISTAN	Alga	4	0.011508808	6.55E-08	9.78E-07	0.988490146	2.57E-09
596795	KAZAKISTAN	Alga	4	0.000124548	1.68E-05	2.20E-05	0.999836497	1.03E-07
596796	KAZAKISTAN	Almaty	4	9.96E-06	4.38E-06	1.36E-09	0.999985654	3.27E-11
596800	KAZAKISTAN	Almaty	1	0.995099937	2.24E-06	3.58E-07	0.004896277	1.19E-06
596801	KAZAKISTAN	Almaty	4	0.00066027	6.09E-05	4.01E-08	0.99927882	8.12E-09
596803	KAZAKISTAN	Almaty	1	0.98568994	0.000207106	0.00022851	0.013867478	6.97E-06
596804	KAZAKISTAN	Almaty	2	0.001240589	0.997376262	3.20E-05	0.001336676	1.44E-05
596812	UZBEKISTAN	Tashkent	4	0.000155422	5.35E-05	2.09E-09	0.999791079	2.93E-09
596814	UZBEKISTAN	Tashkent	2	6.84E-05	0.992936691	1.57E-07	0.006975248	1.95E-05
596817	UZBEKISTAN	Tashkent	4	0.000321631	1.44E-06	1.99E-11	0.999676922	5.93E-09
596818	UZBEKISTAN	Tashkent	4	0.001115931	0.000559211	3.71E-10	0.998324846	1.22E-08
596819	UZBEKISTAN	Tashkent	4	0.001201603	1.60E-05	8.53E-10	0.998782409	1.97E-08
596820	UZBEKISTAN	Tashkent	4	0.20733737	0.001334383	7.32E-07	0.789275021	0.002052494
596821	UZBEKISTAN	Tashkent	1	0.993192961	5.08E-05	4.72E-10	0.006755684	5.62E-07
596822	UZBEKISTAN	Tashkent	4	0.000452887	1.31E-07	2.07E-12	0.999546982	2.90E-12
596824	UZBEKISTAN	Tashkent	4	0.004718672	2.38E-06	2.34E-10	0.995278949	2.37E-09
596825	UZBEKISTAN	Tashkent	1	0.9795529	4.01E-06	4.12E-11	0.020442815	2.70E-07
596826	UZBEKISTAN	Tashkent	1	0.996655426	1.41E-06	4.15E-09	0.003342892	2.65E-07
596829	UZBEKISTAN	Tashkent	4	0.000997346	1.60E-07	8.52E-12	0.999002494	1.69E-10
596830	UZBEKISTAN	Tashkent	4	1.61E-06	1.16E-08	3.63E-14	0.999998374	6.28E-14
596832	UZBEKISTAN	Karshi	1	0.932871853	1.21E-05	3.81E-06	0.067048721	6.35E-05
605405	GEORGIA	Kakheti	3	5.81E-08	7.43E-05	0.999922147	1.79E-06	1.68E-06
605406	GEORGIA	Kakheti	2	3.44E-07	0.999563385	0.000251216	0.000182256	2.80E-06
605407	GEORGIA	Kakheti	2	3.57E-09	0.997066135	0.002903703	1.36E-08	3.01E-05
605408	GEORGIA	Kakheti	5	0.02848043	0.047537029	0.001998584	5.14E-06	0.92197882
605411	GEORGIA	Kakheti	5	0.000563499	0.000853798	2.71E-07	4.52E-05	0.998537236
605412	GEORGIA	Kakheti	3	1.19E-09	1.81E-07	0.999999772	1.92E-12	4.57E-08
605413	GEORGIA	Kakheti	3	3.49E-06	0.003276273	0.976339545	6.48E-10	0.020380691
