country	id	cl	X1	X2	X3	X4	X5	X6	village	village_name
KAZAKISTAN	594291	6	0.0658929889466816	1.90822737298651e-05	0.0703104444949234	1.55970371322554e-07	2.24356663181103e-06	0.863775084747662	KAZAKISTAN0	Alga
KAZAKISTAN	594292	6	0.0012240090941281	4.75926560217333e-05	0.00180153502042768	0.00072724467841839	1.22604235997545e-06	0.996198392508644	KAZAKISTAN0	Alga
KAZAKISTAN	594295	5	8.26775873414182e-09	0.000745708179692999	0.374658460691984	0.00194868218636129	0.622585881638589	6.12590356134e-05	KAZAKISTAN0	Alga
KAZAKISTAN	594296	3	0.000726950821244694	7.01964784484748e-05	0.644076981275651	0.328733922967394	0.0160670857356979	0.0103248627215638	KAZAKISTAN0	Alga
KAZAKISTAN	594297	1	0.98932596707411	8.77141335e-11	0.0103832136617439	1.194621300351e-10	5.9394403119412e-07	0.0002902251129391	KAZAKISTAN0	Alga
KAZAKISTAN	594298	3	0.00379134333321074	3.53832285252e-08	0.996195791102522	8.1821210983595e-09	2.1300338799255e-07	1.26089955292e-05	KAZAKISTAN0	Alga
KAZAKISTAN	594299	6	0.00976756124311413	0.000614463496724474	0.0331228249557204	7.53169847047017e-05	5.95982136009454e-05	0.956360235106135	KAZAKISTAN0	Alga
KAZAKISTAN	594300	3	4.18987729887444e-05	0.000106501802942883	0.991793583537347	0.00175740944054845	0.00628932490810982	1.12815380627e-05	KAZAKISTAN0	Alga
KAZAKISTAN	594301	3	0.185284943520775	1.61589791534e-08	0.812888537747859	1.08384983389605e-08	0.000134324285671204	0.0016921674482174	KAZAKISTAN0	Alga
KAZAKISTAN	594304	3	0.00164735549124766	1.15456310621445e-05	0.998024918586201	2.74745360454767e-07	0.000113167165754706	0.0002027383803743	KAZAKISTAN0	Alga
KAZAKISTAN	594306	4	1.03467199203616e-08	8.458361387496e-07	1.54516291824e-08	0.999998769186423	3.4744358347337e-07	1.17355061e-08	KAZAKISTAN0	Alga
KAZAKISTAN	594307	1	0.999899767597206	4.1536524e-12	9.3392258986742e-05	1.62959546704e-11	2.48929347e-12	6.8401208682e-06	KAZAKISTAN0	Alga
