country	id	cl	X1	X2	X3	X4	X5	X6	X7	village	village_name
TAJIKISTAN	596698	3	0.00256614966518603	4.36145847009199e-06	0.997360112025778	3.222095423928e-10	1.94560789971431e-05	1.8350510420359e-05	3.156993893873e-05	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596699	1	0.999998633775349	5.6454826e-14	2.43312023549674e-07	7.530331e-17	2.23142387e-14	1.1206699990954e-06	2.2425496e-09	TAJIKISTAN3	Kalaikhum
TAJIKISTAN	596700	3	1.26241605027127e-06	0.00079183602440285	0.996973036190544	5.59682701001475e-05	0.000307876517729332	0.000191088009171207	0.0016789325720019	TAJIKISTAN2	Khorog
TAJIKISTAN	596702	1	0.999043257358706	2.53176832975458e-07	1.37131976782431e-05	2.77404728345e-11	8.8656972803e-12	0.000934676046363277	8.10018381336e-06	TAJIKISTAN2	Khorog
TAJIKISTAN	596703	1	0.691378250730352	3.40512699725688e-05	0.287345749918654	5.36842569696e-12	6.56128766917541e-07	0.000266863374503337	0.020974428572382	TAJIKISTAN2	Khorog
TAJIKISTAN	596704	4	9.44416548398049e-08	1.05449754791956e-06	4.17512384719588e-07	0.999996716742392	3.89860487694594e-07	5.207936333422e-07	8.0615189971e-07	TAJIKISTAN2	Khorog
TAJIKISTAN	596705	3	5.25017323337627e-05	4.35843528687e-10	0.999868325170402	1.34866607704269e-08	3.61204627583015e-06	4.284929112039e-07	7.51186355727e-05	TAJIKISTAN2	Khorog
TAJIKISTAN	596706	1	0.999993058529301	3.11426784e-13	1.80099655856038e-06	1.681714045e-14	1.68979406747e-11	4.8832763609337e-06	2.5718055318e-07	TAJIKISTAN2	Khorog
TAJIKISTAN	596707	1	0.99550930176016	2.7264828088386e-08	0.00363617209460065	1.939190123585e-11	1.036976872283e-10	0.000407482676382427	0.00044701608093878	TAJIKISTAN2	Khorog
TAJIKISTAN	596708	3	0.136868735469736	1.223712554728e-08	0.86308590834003	2.1539817272e-13	3.39132156390528e-07	2.54506888607922e-05	1.955413187651e-05	TAJIKISTAN2	Khorog
TAJIKISTAN	596709	1	0.996892091966715	1.15743716759255e-07	0.00134529376432773	3.575603886035e-11	1.64515546979279e-08	2.83503266367e-06	0.0017596470052661	TAJIKISTAN2	Khorog
TAJIKISTAN	596710	3	3.61363839758296e-05	3.27841288636306e-07	0.996877244796417	6.072224422423e-11	2.70190852736025e-05	1.1450185281832e-06	0.0030581268137941	TAJIKISTAN2	Khorog
TAJIKISTAN	596713	3	0.0922829696221061	5.053930000045e-07	0.902739898475219	3.11059113805791e-09	0.00411671510645815	0.000242440469660429	0.00061746782296476	TAJIKISTAN2	Khorog
TAJIKISTAN	596714	1	0.999998999074146	4.19627312e-13	3.1653338730609e-08	3.700004e-17	1.0471037e-15	9.530210233766e-07	1.625107088e-08	TAJIKISTAN2	Khorog
TAJIKISTAN	596715	1	0.995949268585784	4.46029467e-13	0.00404839297338793	3.2238287e-16	2.1794895797e-12	1.8059826107368e-06	5.3245559173e-07	TAJIKISTAN2	Khorog
